timestamp,actual_pm25,persistence_prediction,seasonal_prediction,xgboost_prediction
2016-12-10 09:00:00,40.0,164.0,59.06834249803614,76.56029
2016-12-10 10:00:00,40.0,158.0,59.06834249803614,79.05925
2016-12-10 11:00:00,36.0,145.0,59.06834249803614,84.614204
2016-12-10 12:00:00,32.0,118.0,59.06834249803614,86.457695
2016-12-10 13:00:00,27.0,108.0,59.06834249803614,77.25065
2016-12-10 14:00:00,26.0,102.0,59.06834249803614,76.057205
2016-12-10 15:00:00,29.0,100.0,59.06834249803614,76.4541
2016-12-10 16:00:00,27.0,91.0,59.06834249803614,73.678024
2016-12-10 17:00:00,32.0,108.0,59.06834249803614,77.7383
2016-12-10 18:00:00,27.0,101.0,59.06834249803614,79.77425
2016-12-10 19:00:00,24.0,103.0,59.06834249803614,80.76638
2016-12-10 20:00:00,33.0,107.0,59.06834249803614,81.05284
2016-12-10 21:00:00,31.0,108.0,59.06834249803614,84.03731
2016-12-10 22:00:00,34.0,109.0,59.06834249803614,81.29184
2016-12-10 23:00:00,30.0,104.0,59.06834249803614,84.43596
2016-12-11 00:00:00,34.0,106.0,59.06834249803614,82.61425
2016-12-11 03:00:00,40.0,114.0,59.06834249803614,81.12829
2016-12-11 05:00:00,39.0,125.0,59.06834249803614,82.740105
2016-12-11 06:00:00,40.0,122.0,59.06834249803614,80.1689
2016-12-11 09:00:00,47.0,155.0,59.06834249803614,77.795586
2016-12-11 10:00:00,41.0,143.0,59.06834249803614,78.73118
2016-12-11 15:00:00,43.0,110.0,59.06834249803614,81.97939
2016-12-11 16:00:00,44.0,114.0,59.06834249803614,85.93271
2016-12-11 18:00:00,37.0,114.0,59.06834249803614,81.288284
2016-12-11 19:00:00,34.0,114.0,59.06834249803614,82.29124
2016-12-11 20:00:00,39.0,93.0,59.06834249803614,82.10215
2016-12-11 21:00:00,49.0,95.0,59.06834249803614,86.67357
2016-12-11 22:00:00,49.0,105.0,59.06834249803614,89.064735
2016-12-12 00:00:00,40.0,91.0,59.06834249803614,69.1545
2016-12-12 02:00:00,38.0,98.0,59.06834249803614,57.38485
2016-12-12 03:00:00,37.0,100.0,59.06834249803614,58.763042
2016-12-12 04:00:00,37.0,91.0,59.06834249803614,55.768612
2016-12-12 05:00:00,39.0,60.0,59.06834249803614,55.633785
2016-12-12 06:00:00,41.0,48.0,59.06834249803614,64.57441
2016-12-12 09:00:00,46.0,51.0,59.06834249803614,60.549564
2016-12-12 12:00:00,53.0,60.0,59.06834249803614,58.38876
2016-12-12 15:00:00,97.0,65.0,59.06834249803614,58.499233
2016-12-12 17:00:00,82.0,70.0,59.06834249803614,58.096752
2016-12-12 18:00:00,79.0,74.0,59.06834249803614,56.393154
2016-12-12 20:00:00,63.0,83.0,59.06834249803614,52.929348
2016-12-12 21:00:00,60.0,84.0,59.06834249803614,53.197903
2016-12-12 22:00:00,65.0,78.0,59.06834249803614,54.287865
2016-12-12 23:00:00,67.0,84.0,59.06834249803614,57.58966
2016-12-13 00:00:00,62.0,88.0,59.06834249803614,56.14232
2016-12-13 02:00:00,52.0,114.0,59.06834249803614,64.81512
2016-12-13 03:00:00,57.0,99.0,59.06834249803614,57.205566
2016-12-13 04:00:00,58.0,102.0,59.06834249803614,59.002666
2016-12-13 05:00:00,44.0,92.0,59.06834249803614,63.02943
2016-12-13 06:00:00,47.0,99.0,59.06834249803614,63.043797
2016-12-13 07:00:00,48.0,100.0,59.06834249803614,52.669956
2016-12-13 08:00:00,42.0,88.0,59.06834249803614,54.925747
2016-12-13 09:00:00,43.0,95.0,59.06834249803614,51.048836
2016-12-13 10:00:00,38.0,95.0,59.06834249803614,47.373447
2016-12-13 12:00:00,59.0,86.0,59.06834249803614,49.63812
2016-12-13 14:00:00,77.0,77.0,59.06834249803614,57.90325
2016-12-13 15:00:00,70.0,71.0,59.06834249803614,56.851086
2016-12-13 16:00:00,72.0,69.0,59.06834249803614,50.87673
2016-12-13 17:00:00,77.0,76.0,59.06834249803614,54.991627
2016-12-13 18:00:00,70.0,88.0,59.06834249803614,52.888943
2016-12-13 19:00:00,70.0,96.0,59.06834249803614,51.700092
2016-12-13 20:00:00,60.0,95.0,59.06834249803614,53.8087
2016-12-13 21:00:00,58.0,99.0,59.06834249803614,59.388237
2016-12-13 22:00:00,64.0,109.0,59.06834249803614,60.04774
2016-12-13 23:00:00,56.0,104.0,59.06834249803614,61.593346
2016-12-14 00:00:00,62.0,107.0,59.06834249803614,56.39451
2016-12-14 16:00:00,64.0,177.0,59.06834249803614,80.55194
2016-12-14 17:00:00,69.0,168.0,59.06834249803614,80.67787
2016-12-15 15:00:00,116.0,143.0,59.06834249803614,89.90263
2016-12-15 16:00:00,116.0,162.0,59.06834249803614,85.593834
2016-12-15 18:00:00,125.0,174.0,59.06834249803614,82.17255
2016-12-16 04:00:00,154.0,175.0,59.06834249803614,81.27764
2016-12-16 05:00:00,130.0,165.0,59.06834249803614,80.59542
2016-12-16 08:00:00,154.0,156.0,59.06834249803614,79.45239
2016-12-16 09:00:00,157.0,98.0,59.06834249803614,73.52427
2016-12-16 10:00:00,145.0,104.0,59.06834249803614,77.492905
2016-12-16 11:00:00,124.0,101.0,59.06834249803614,82.56459
2016-12-16 12:00:00,122.0,95.0,59.06834249803614,85.1193
2016-12-16 13:00:00,125.0,92.0,59.06834249803614,85.04933
2016-12-16 14:00:00,133.0,89.0,59.06834249803614,86.40402
2016-12-16 15:00:00,128.0,97.0,59.06834249803614,88.71796
2016-12-16 16:00:00,118.0,94.0,59.06834249803614,84.83673
2016-12-16 17:00:00,113.0,114.0,59.06834249803614,88.94952
2016-12-16 18:00:00,107.0,108.0,59.06834249803614,90.492355
2016-12-17 03:00:00,99.0,95.0,59.06834249803614,64.906334
2016-12-17 04:00:00,99.0,101.0,59.06834249803614,64.20649
2016-12-17 05:00:00,100.0,109.0,59.06834249803614,71.622314
2016-12-17 06:00:00,88.0,112.0,59.06834249803614,72.77627
2016-12-17 07:00:00,91.0,93.0,59.06834249803614,74.10477
2016-12-17 08:00:00,88.0,92.0,59.06834249803614,63.215515
2016-12-17 09:00:00,81.0,81.0,59.06834249803614,64.09824
2016-12-17 10:00:00,82.0,106.0,59.06834249803614,69.554886
2016-12-17 11:00:00,83.0,122.0,59.06834249803614,73.84345
2016-12-17 12:00:00,81.0,130.0,59.06834249803614,71.581055
2016-12-17 13:00:00,85.0,127.0,59.06834249803614,74.67014
2016-12-17 14:00:00,97.0,134.0,59.06834249803614,75.63634
2016-12-17 15:00:00,97.0,155.0,59.06834249803614,80.26271
2016-12-17 16:00:00,91.0,138.0,59.06834249803614,78.320404
2016-12-17 17:00:00,106.0,134.0,59.06834249803614,84.40022
2016-12-17 18:00:00,100.0,138.0,59.06834249803614,80.79509
2016-12-17 19:00:00,105.0,141.0,59.06834249803614,80.55933
2016-12-17 20:00:00,98.0,135.0,59.06834249803614,85.62601
2016-12-17 21:00:00,98.0,142.0,59.06834249803614,89.054184
2016-12-17 22:00:00,94.0,139.0,59.06834249803614,90.600075
2016-12-17 23:00:00,99.0,145.0,59.06834249803614,93.70886
2016-12-18 00:00:00,100.0,148.0,59.06834249803614,103.47495
2016-12-18 02:00:00,104.0,148.0,59.06834249803614,89.429436
2016-12-18 03:00:00,109.0,152.0,59.06834249803614,90.190315
2016-12-18 04:00:00,95.0,153.0,59.06834249803614,86.93214
2016-12-18 05:00:00,88.0,146.0,59.06834249803614,84.97731
2016-12-18 06:00:00,82.0,134.0,59.06834249803614,84.036285
2016-12-18 07:00:00,80.0,135.0,59.06834249803614,79.347786
2016-12-18 08:00:00,83.0,110.0,59.06834249803614,71.3262
2016-12-18 09:00:00,82.0,112.0,59.06834249803614,70.13536
2016-12-18 10:00:00,121.0,130.0,59.06834249803614,71.76379
2016-12-18 13:00:00,97.0,114.0,59.06834249803614,80.67216
2016-12-18 15:00:00,89.0,109.0,59.06834249803614,81.2347
2016-12-18 16:00:00,90.0,107.0,59.06834249803614,78.89924
2016-12-18 18:00:00,88.0,124.0,59.06834249803614,82.056
2016-12-18 19:00:00,75.0,121.0,59.06834249803614,85.491486
