location,city,country,latitude,longitude,parameter,value,unit,date_utc,raw_measurement
,,,34.1164,108.6116,pm25,20.0,µg/m³,2021-08-09T11:00:00Z,"{""datetime"": {""utc"": ""2021-08-09T11:00:00Z"", ""local"": ""2021-08-09T19:00:00+08:00""}, ""value"": 20.0, ""coordinates"": {""latitude"": 34.1164, ""longitude"": 108.6116}, ""sensorsId"": 237891, ""locationsId"": 43504}"
,,,-14.422226,-71.828257,pm25,8.0,µg/m³,2025-01-05T19:55:00Z,"{""datetime"": {""utc"": ""2025-01-05T19:55:00Z"", ""local"": ""2025-01-05T14:55:00-05:00""}, ""value"": 8.0, ""coordinates"": {""latitude"": -14.422226, ""longitude"": -71.828257}, ""sensorsId"": 9974167, ""locationsId"": 2956512}"
,,,37.404167,126.72611099999999,pm25,26.0,µg/m³,2024-04-12T22:00:00Z,"{""datetime"": {""utc"": ""2024-04-12T22:00:00Z"", ""local"": ""2024-04-13T07:00:00+09:00""}, ""value"": 26.0, ""coordinates"": {""latitude"": 37.404167, ""longitude"": 126.72611099999999}, ""sensorsId"": 8539667, ""locationsId"": 2623591}"
,,,28.885279999999998,78.7388,pm25,26.52,µg/m³,2026-08-04T07:30:00Z,"{""datetime"": {""utc"": ""2026-08-04T07:30:00Z"", ""local"": ""2026-08-04T13:00:00+05:30""}, ""value"": 26.52, ""coordinates"": {""latitude"": 28.885279999999998, ""longitude"": 78.7388}, ""sensorsId"": 12241402, ""locationsId"": 270697}"
,,,19.5329,-99.0303,pm25,4.0,µg/m³,2023-06-30T13:00:00Z,"{""datetime"": {""utc"": ""2023-06-30T13:00:00Z"", ""local"": ""2023-06-30T07:00:00-06:00""}, ""value"": 4.0, ""coordinates"": {""latitude"": 19.5329, ""longitude"": -99.0303}, ""sensorsId"": 3587, ""locationsId"": 2020}"
,,,14.7918,75.38959999999999,pm25,20.0,µg/m³,2022-10-16T16:00:00Z,"{""datetime"": {""utc"": ""2022-10-16T16:00:00Z"", ""local"": ""2022-10-16T21:30:00+05:30""}, ""value"": 20.0, ""coordinates"": {""latitude"": 14.7918, ""longitude"": 75.38959999999999}, ""sensorsId"": 1757429, ""locationsId"": 309803}"
,,,41.18222,-104.77833599999998,pm25,5.0,µg/m³,2024-07-11T15:00:00Z,"{""datetime"": {""utc"": ""2024-07-11T15:00:00Z"", ""local"": ""2024-07-11T09:00:00-06:00""}, ""value"": 5.0, ""coordinates"": {""latitude"": 41.18222, ""longitude"": -104.77833599999998}, ""sensorsId"": 29009, ""locationsId"": 9497}"
,,,8.41076,-13.14286,pm25,17.2,µg/m³,2026-08-04T09:06:21Z,"{""datetime"": {""utc"": ""2026-08-04T09:06:21Z"", ""local"": ""2026-08-04T09:06:21Z""}, ""value"": 17.2, ""coordinates"": {""latitude"": 8.41076, ""longitude"": -13.14286}, ""sensorsId"": 16360765, ""locationsId"": 6368234}"
,,,42.66569999989244,20.305089999895873,pm25,9.58346,µg/m³,2025-11-27T18:00:00Z,"{""datetime"": {""utc"": ""2025-11-27T18:00:00Z"", ""local"": ""2025-11-27T19:00:00+01:00""}, ""value"": 9.58346, ""coordinates"": {""latitude"": 42.66569999989244, ""longitude"": 20.305089999895873}, ""sensorsId"": 2773184, ""locationsId"": 494941}"
,,,38.767533,-119.79887,pm25,10.0,µg/m³,2017-08-20T18:00:00Z,"{""datetime"": {""utc"": ""2017-08-20T18:00:00Z"", ""local"": ""2017-08-20T11:00:00-07:00""}, ""value"": 10.0, ""coordinates"": {""latitude"": 38.767533, ""longitude"": -119.79887}, ""sensorsId"": 12940, ""locationsId"": 5069}"
,,,39.1380601097263,34.1682767495831,pm25,5.989,µg/m³,2023-10-11T10:00:00Z,"{""datetime"": {""utc"": ""2023-10-11T10:00:00Z"", ""local"": ""2023-10-11T13:00:00+03:00""}, ""value"": 5.989, ""coordinates"": {""latitude"": 39.1380601097263, ""longitude"": 34.1682767495831}, ""sensorsId"": 2078948, ""locationsId"": 368834}"
,,,17.460103,78.334361,pm25,12.0,µg/m³,2026-08-04T07:30:00Z,"{""datetime"": {""utc"": ""2026-08-04T07:30:00Z"", ""local"": ""2026-08-04T13:00:00+05:30""}, ""value"": 12.0, ""coordinates"": {""latitude"": 17.460103, ""longitude"": 78.334361}, ""sensorsId"": 12242121, ""locationsId"": 5623}"
,,,42.63709592339984,-73.85600281744806,pm25,1.9,µg/m³,2026-08-04T10:00:00Z,"{""datetime"": {""utc"": ""2026-08-04T10:00:00Z"", ""local"": ""2026-08-04T06:00:00-04:00""}, ""value"": 1.9, ""coordinates"": {""latitude"": 42.63709592339984, ""longitude"": -73.85600281744806}, ""sensorsId"": 16360767, ""locationsId"": 6368236}"
,,,-43.5599449,172.6436133,pm25,6.3,µg/m³,2026-08-04T10:00:00Z,"{""datetime"": {""utc"": ""2026-08-04T10:00:00Z"", ""local"": ""2026-08-04T22:00:00+12:00""}, ""value"": 6.3, ""coordinates"": {""latitude"": -43.5599449, ""longitude"": 172.6436133}, ""sensorsId"": 9384695, ""locationsId"": 2868842}"
,,,22.58157048,88.41002457,pm25,23.3,µg/m³,2022-10-16T15:45:00Z,"{""datetime"": {""utc"": ""2022-10-16T15:45:00Z"", ""local"": ""2022-10-16T21:15:00+05:30""}, ""value"": 23.3, ""coordinates"": {""latitude"": 22.58157048, ""longitude"": 88.41002457}, ""sensorsId"": 36317, ""locationsId"": 10851}"
,,,28.732528,77.11992,pm25,238.0,µg/m³,2022-10-31T00:45:00Z,"{""datetime"": {""utc"": ""2022-10-31T00:45:00Z"", ""local"": ""2022-10-31T06:15:00+05:30""}, ""value"": 238.0, ""coordinates"": {""latitude"": 28.732528, ""longitude"": 77.11992}, ""sensorsId"": 36399, ""locationsId"": 10831}"
,,,36.42516799999999,127.395931,pm25,8.0,µg/m³,2024-07-11T16:00:00Z,"{""datetime"": {""utc"": ""2024-07-11T16:00:00Z"", ""local"": ""2024-07-12T01:00:00+09:00""}, ""value"": 8.0, ""coordinates"": {""latitude"": 36.42516799999999, ""longitude"": 127.395931}, ""sensorsId"": 8539689, ""locationsId"": 2623759}"
,,,42.07225,-87.72284,pm25,22.7,µg/m³,2026-08-04T10:00:00Z,"{""datetime"": {""utc"": ""2026-08-04T10:00:00Z"", ""local"": ""2026-08-04T05:00:00-05:00""}, ""value"": 22.7, ""coordinates"": {""latitude"": 42.07225, ""longitude"": -87.72284}, ""sensorsId"": 17132482, ""locationsId"": 6473224}"
,,,36.247808,-121.781317,pm25,0.0,µg/m³,2020-11-24T16:00:00Z,"{""datetime"": {""utc"": ""2020-11-24T16:00:00Z"", ""local"": ""2020-11-24T08:00:00-08:00""}, ""value"": 0.0, ""coordinates"": {""latitude"": 36.247808, ""longitude"": -121.781317}, ""sensorsId"": 5454, ""locationsId"": 2615}"
,,,50.38642599999855,8.059908999819234,pm25,10.4897,µg/m³,2026-08-04T07:00:00Z,"{""datetime"": {""utc"": ""2026-08-04T07:00:00Z"", ""local"": ""2026-08-04T09:00:00+02:00""}, ""value"": 10.4897, ""coordinates"": {""latitude"": 50.38642599999855, ""longitude"": 8.059908999819234}, ""sensorsId"": 1312653, ""locationsId"": 4732}"
,,,39.8281,-104.93645,pm25,39.8,µg/m³,2026-08-04T10:00:00Z,"{""datetime"": {""utc"": ""2026-08-04T10:00:00Z"", ""local"": ""2026-08-04T04:00:00-06:00""}, ""value"": 39.8, ""coordinates"": {""latitude"": 39.8281, ""longitude"": -104.93645}, ""sensorsId"": 1309256, ""locationsId"": 226745}"
,,,43.447,-80.48,pm25,4.438749988873799,µg/m³,2025-02-13T21:00:00Z,"{""datetime"": {""utc"": ""2025-02-13T21:00:00Z"", ""local"": ""2025-02-13T16:00:00-05:00""}, ""value"": 4.438749988873799, ""coordinates"": {""latitude"": 43.447, ""longitude"": -80.48}, ""sensorsId"": 9975831, ""locationsId"": 2956818}"
,,,41.796336,12.444548,pm25,17.6,µg/m³,2026-08-04T10:00:00Z,"{""datetime"": {""utc"": ""2026-08-04T10:00:00Z"", ""local"": ""2026-08-04T12:00:00+02:00""}, ""value"": 17.6, ""coordinates"": {""latitude"": 41.796336, ""longitude"": 12.444548}, ""sensorsId"": 15244073, ""locationsId"": 6212602}"
