station_code,station_name,year,horizon,horizon_hours,predictor,total_rows,target_available_samples,predictor_available_samples,usable_samples,usable_pct
1431A,JQLH,2018,72h,72,U10,8760,7715,8760,7715,88.07077625570776
1431A,JQLH,2019,72h,72,U10,8760,7919,8760,7919,90.39954337899543
1431A,JQLH,2020,72h,72,U10,8784,7971,8784,7971,90.74453551912568
1431A,JQLH,2021,72h,72,U10,8049,7491,8048,7490,93.05503789290596
1431A,JQLH,2015,72h,72,V10,8760,7576,8753,7576,86.48401826484017
1431A,JQLH,2016,72h,72,V10,8784,8223,8784,8223,93.61338797814209
1431A,JQLH,2017,72h,72,V10,8760,8309,8760,8309,94.85159817351598
1431A,JQLH,2018,72h,72,V10,8760,7715,8760,7715,88.07077625570776
1431A,JQLH,2019,72h,72,V10,8760,7919,8760,7919,90.39954337899543
1431A,JQLH,2020,72h,72,V10,8784,7971,8784,7971,90.74453551912568
1431A,JQLH,2021,72h,72,V10,8049,7491,8048,7490,93.05503789290596
1431A,JQLH,2015,72h,72,T2,8760,7576,8753,7576,86.48401826484017
1431A,JQLH,2016,72h,72,T2,8784,8223,8784,8223,93.61338797814209
1431A,JQLH,2017,72h,72,T2,8760,8309,8760,8309,94.85159817351598
1431A,JQLH,2018,72h,72,T2,8760,7715,8760,7715,88.07077625570776
1431A,JQLH,2019,72h,72,T2,8760,7919,8760,7919,90.39954337899543
1431A,JQLH,2020,72h,72,T2,8784,7971,8784,7971,90.74453551912568
1431A,JQLH,2021,72h,72,T2,8049,7491,8048,7490,93.05503789290596
1431A,JQLH,2015,72h,72,RH2,8760,7576,8753,7576,86.48401826484017
1431A,JQLH,2016,72h,72,RH2,8784,8223,8784,8223,93.61338797814209
1431A,JQLH,2017,72h,72,RH2,8760,8309,8760,8309,94.85159817351598
1431A,JQLH,2018,72h,72,RH2,8760,7715,8760,7715,88.07077625570776
1431A,JQLH,2019,72h,72,RH2,8760,7919,8760,7919,90.39954337899543
1431A,JQLH,2020,72h,72,RH2,8784,7971,8784,7971,90.74453551912568
1431A,JQLH,2021,72h,72,RH2,8049,7491,8049,7491,93.06746179649646
1431A,JQLH,2015,72h,72,PBLH,8760,7576,8753,7576,86.48401826484017
1431A,JQLH,2016,72h,72,PBLH,8784,8223,8784,8223,93.61338797814209
1431A,JQLH,2017,72h,72,PBLH,8760,8309,8760,8309,94.85159817351598
1431A,JQLH,2018,72h,72,PBLH,8760,7715,8760,7715,88.07077625570776
1431A,JQLH,2019,72h,72,PBLH,8760,7919,8760,7919,90.39954337899543
1431A,JQLH,2020,72h,72,PBLH,8784,7971,8784,7971,90.74453551912568
1431A,JQLH,2021,72h,72,PBLH,8049,7491,8048,7490,93.05503789290596
1431A,JQLH,2015,7d,168,PM10,8760,7607,8112,7587,86.60958904109589
1431A,JQLH,2016,7d,168,PM10,8784,8221,8458,8169,92.99863387978142
1431A,JQLH,2017,7d,168,PM10,8760,8313,8496,8260,94.29223744292237
1431A,JQLH,2018,7d,168,PM10,8760,7633,8063,7531,85.9703196347032
1431A,JQLH,2019,7d,168,PM10,8760,7942,8275,7878,89.93150684931507
1431A,JQLH,2020,7d,168,PM10,8784,7971,8366,7947,90.47131147540983
1431A,JQLH,2021,7d,168,PM10,8049,7391,7796,7382,91.71325630513107
1431A,JQLH,2015,7d,168,SO2,8760,7607,8131,7604,86.80365296803653
1431A,JQLH,2016,7d,168,SO2,8784,8221,8507,8216,93.53369763205829
1431A,JQLH,2017,7d,168,SO2,8760,8313,8539,8299,94.73744292237443
1431A,JQLH,2018,7d,168,SO2,8760,7633,8152,7604,86.80365296803653
1431A,JQLH,2019,7d,168,SO2,8760,7942,8297,7892,90.09132420091325
1431A,JQLH,2020,7d,168,SO2,8784,7971,8371,7926,90.23224043715847
1431A,JQLH,2021,7d,168,SO2,8049,7391,7809,7355,91.37781090818736
1431A,JQLH,2015,7d,168,NO2,8760,7607,8132,7605,86.81506849315068
1431A,JQLH,2016,7d,168,NO2,8784,8221,8506,8216,93.53369763205829
1431A,JQLH,2017,7d,168,NO2,8760,8313,8514,8276,94.47488584474885
1431A,JQLH,2018,7d,168,NO2,8760,7633,8141,7594,86.68949771689498
1431A,JQLH,2019,7d,168,NO2,8760,7942,8249,7857,89.69178082191782
1431A,JQLH,2020,7d,168,NO2,8784,7971,8375,7928,90.25500910746813
1431A,JQLH,2021,7d,168,NO2,8049,7391,7814,7362,91.46477823332091
1431A,JQLH,2015,7d,168,O3-8h,8760,7607,8130,7602,86.78082191780821
1431A,JQLH,2016,7d,168,O3-8h,8784,8221,8510,8220,93.5792349726776
1431A,JQLH,2017,7d,168,O3-8h,8760,8313,8540,8297,94.71461187214612
1431A,JQLH,2018,7d,168,O3-8h,8760,7633,8199,7633,87.13470319634703
1431A,JQLH,2019,7d,168,O3-8h,8760,7942,8357,7941,90.65068493150686
1431A,JQLH,2020,7d,168,O3-8h,8784,7971,8448,7971,90.74453551912568
1431A,JQLH,2021,7d,168,O3-8h,8049,7391,7767,7281,90.45844204248975
1431A,JQLH,2015,7d,168,CO,8760,7607,8135,7607,86.837899543379
1431A,JQLH,2016,7d,168,CO,8784,8221,8510,8220,93.5792349726776
1431A,JQLH,2017,7d,168,CO,8760,8313,8516,8281,94.53196347031964
1431A,JQLH,2018,7d,168,CO,8760,7633,8165,7617,86.95205479452055
1431A,JQLH,2019,7d,168,CO,8760,7942,8299,7895,90.1255707762557
1431A,JQLH,2020,7d,168,CO,8784,7971,8377,7934,90.32331511839709
1431A,JQLH,2021,7d,168,CO,8049,7391,7799,7351,91.32811529382532
1431A,JQLH,2015,7d,168,U10,8760,7607,8753,7607,86.837899543379
1431A,JQLH,2016,7d,168,U10,8784,8221,8784,8221,93.59061930783243
1431A,JQLH,2017,7d,168,U10,8760,8313,8760,8313,94.8972602739726
1431A,JQLH,2018,7d,168,U10,8760,7633,8760,7633,87.13470319634703
1431A,JQLH,2019,7d,168,U10,8760,7942,8760,7942,90.662100456621
1431A,JQLH,2020,7d,168,U10,8784,7971,8784,7971,90.74453551912568
1431A,JQLH,2021,7d,168,U10,8049,7391,8048,7390,91.81264753385514
1431A,JQLH,2015,7d,168,V10,8760,7607,8753,7607,86.837899543379
1431A,JQLH,2016,7d,168,V10,8784,8221,8784,8221,93.59061930783243
1431A,JQLH,2017,7d,168,V10,8760,8313,8760,8313,94.8972602739726
1431A,JQLH,2018,7d,168,V10,8760,7633,8760,7633,87.13470319634703
1431A,JQLH,2019,7d,168,V10,8760,7942,8760,7942,90.662100456621
1431A,JQLH,2020,7d,168,V10,8784,7971,8784,7971,90.74453551912568
1431A,JQLH,2021,7d,168,V10,8049,7391,8048,7390,91.81264753385514
1431A,JQLH,2015,7d,168,T2,8760,7607,8753,7607,86.837899543379
1431A,JQLH,2016,7d,168,T2,8784,8221,8784,8221,93.59061930783243
1431A,JQLH,2017,7d,168,T2,8760,8313,8760,8313,94.8972602739726
1431A,JQLH,2018,7d,168,T2,8760,7633,8760,7633,87.13470319634703
1431A,JQLH,2019,7d,168,T2,8760,7942,8760,7942,90.662100456621
1431A,JQLH,2020,7d,168,T2,8784,7971,8784,7971,90.74453551912568
1431A,JQLH,2021,7d,168,T2,8049,7391,8048,7390,91.81264753385514
1431A,JQLH,2015,7d,168,RH2,8760,7607,8753,7607,86.837899543379
1431A,JQLH,2016,7d,168,RH2,8784,8221,8784,8221,93.59061930783243
1431A,JQLH,2017,7d,168,RH2,8760,8313,8760,8313,94.8972602739726
1431A,JQLH,2018,7d,168,RH2,8760,7633,8760,7633,87.13470319634703
1431A,JQLH,2019,7d,168,RH2,8760,7942,8760,7942,90.662100456621
1431A,JQLH,2020,7d,168,RH2,8784,7971,8784,7971,90.74453551912568
1431A,JQLH,2021,7d,168,RH2,8049,7391,8049,7391,91.82507143744564
1431A,JQLH,2015,7d,168,PBLH,8760,7607,8753,7607,86.837899543379
1431A,JQLH,2016,7d,168,PBLH,8784,8221,8784,8221,93.59061930783243
1431A,JQLH,2017,7d,168,PBLH,8760,8313,8760,8313,94.8972602739726
1431A,JQLH,2018,7d,168,PBLH,8760,7633,8760,7633,87.13470319634703
1431A,JQLH,2019,7d,168,PBLH,8760,7942,8760,7942,90.662100456621
1431A,JQLH,2020,7d,168,PBLH,8784,7971,8784,7971,90.74453551912568
1431A,JQLH,2021,7d,168,PBLH,8049,7391,8048,7390,91.81264753385514
1431A,JQLH,2015,14d,336,PM10,8760,7607,8112,7588,86.62100456621005
1431A,JQLH,2016,14d,336,PM10,8784,8213,8458,8163,92.93032786885246
1431A,JQLH,2017,14d,336,PM10,8760,8315,8496,8261,94.30365296803653
1431A,JQLH,2018,14d,336,PM10,8760,7597,8063,7495,85.5593607305936
1431A,JQLH,2019,14d,336,PM10,8760,7920,8275,7855,89.6689497716895
1431A,JQLH,2020,14d,336,PM10,8784,7979,8366,7954,90.55100182149363
1431A,JQLH,2021,14d,336,PM10,8049,7227,7796,7218,89.67573611628774
1431A,JQLH,2015,14d,336,SO2,8760,7607,8131,7604,86.80365296803653
1431A,JQLH,2016,14d,336,SO2,8784,8213,8507,8208,93.44262295081968
1431A,JQLH,2017,14d,336,SO2,8760,8315,8539,8300,94.74885844748859
1431A,JQLH,2018,14d,336,SO2,8760,7597,8152,7565,86.35844748858447
1431A,JQLH,2019,14d,336,SO2,8760,7920,8297,7868,89.81735159817352
1431A,JQLH,2020,14d,336,SO2,8784,7979,8371,7939,90.38023679417122
1431A,JQLH,2021,14d,336,SO2,8049,7227,7809,7191,89.34029071934401
1431A,JQLH,2015,14d,336,NO2,8760,7607,8132,7604,86.80365296803653
1431A,JQLH,2016,14d,336,NO2,8784,8213,8506,8209,93.4540072859745
1431A,JQLH,2017,14d,336,NO2,8760,8315,8514,8278,94.49771689497717
1431A,JQLH,2018,14d,336,NO2,8760,7597,8141,7555,86.24429223744292
1431A,JQLH,2019,14d,336,NO2,8760,7920,8249,7831,89.39497716894978
1431A,JQLH,2020,14d,336,NO2,8784,7979,8375,7938,90.3688524590164
1431A,JQLH,2021,14d,336,NO2,8049,7227,7814,7195,89.38998633370605
1431A,JQLH,2015,14d,336,O3-8h,8760,7607,8130,7602,86.78082191780821
1431A,JQLH,2016,14d,336,O3-8h,8784,8213,8510,8212,93.48816029143899
1431A,JQLH,2017,14d,336,O3-8h,8760,8315,8540,8297,94.71461187214612
1431A,JQLH,2018,14d,336,O3-8h,8760,7597,8199,7597,86.72374429223744
1431A,JQLH,2019,14d,336,O3-8h,8760,7920,8357,7919,90.39954337899543
1431A,JQLH,2020,14d,336,O3-8h,8784,7979,8448,7979,90.8356102003643
1431A,JQLH,2021,14d,336,O3-8h,8049,7227,7767,7116,88.4084979500559
1431A,JQLH,2015,14d,336,CO,8760,7607,8135,7607,86.837899543379
1431A,JQLH,2016,14d,336,CO,8784,8213,8510,8212,93.48816029143899
1431A,JQLH,2017,14d,336,CO,8760,8315,8516,8280,94.52054794520548
1431A,JQLH,2018,14d,336,CO,8760,7597,8165,7578,86.5068493150685
1431A,JQLH,2019,14d,336,CO,8760,7920,8299,7869,89.82876712328766
1431A,JQLH,2020,14d,336,CO,8784,7979,8377,7942,90.4143897996357
1431A,JQLH,2021,14d,336,CO,8049,7227,7799,7187,89.29059510498199
1431A,JQLH,2015,14d,336,U10,8760,7607,8753,7607,86.837899543379
1431A,JQLH,2016,14d,336,U10,8784,8213,8784,8213,93.49954462659382
1431A,JQLH,2017,14d,336,U10,8760,8315,8760,8315,94.92009132420091
1431A,JQLH,2018,14d,336,U10,8760,7597,8760,7597,86.72374429223744
1431A,JQLH,2019,14d,336,U10,8760,7920,8760,7920,90.41095890410958
1431A,JQLH,2020,14d,336,U10,8784,7979,8784,7979,90.8356102003643
1431A,JQLH,2021,14d,336,U10,8049,7227,8048,7226,89.77512734501181
1431A,JQLH,2015,14d,336,V10,8760,7607,8753,7607,86.837899543379
1431A,JQLH,2016,14d,336,V10,8784,8213,8784,8213,93.49954462659382
1431A,JQLH,2017,14d,336,V10,8760,8315,8760,8315,94.92009132420091
1431A,JQLH,2018,14d,336,V10,8760,7597,8760,7597,86.72374429223744
1431A,JQLH,2019,14d,336,V10,8760,7920,8760,7920,90.41095890410958
1431A,JQLH,2020,14d,336,V10,8784,7979,8784,7979,90.8356102003643
1431A,JQLH,2021,14d,336,V10,8049,7227,8048,7226,89.77512734501181
1431A,JQLH,2015,14d,336,T2,8760,7607,8753,7607,86.837899543379
1431A,JQLH,2016,14d,336,T2,8784,8213,8784,8213,93.49954462659382
1431A,JQLH,2017,14d,336,T2,8760,8315,8760,8315,94.92009132420091
1431A,JQLH,2018,14d,336,T2,8760,7597,8760,7597,86.72374429223744
1431A,JQLH,2019,14d,336,T2,8760,7920,8760,7920,90.41095890410958
1431A,JQLH,2020,14d,336,T2,8784,7979,8784,7979,90.8356102003643
1431A,JQLH,2021,14d,336,T2,8049,7227,8048,7226,89.77512734501181
1431A,JQLH,2015,14d,336,RH2,8760,7607,8753,7607,86.837899543379
1431A,JQLH,2016,14d,336,RH2,8784,8213,8784,8213,93.49954462659382
1431A,JQLH,2017,14d,336,RH2,8760,8315,8760,8315,94.92009132420091
