station_code,station_name,year,rows,variable,missing_count,missing_pct
1433A,SWY,2018,8760,SO2,762,8.698630136986301
1433A,SWY,2018,8760,NO2,728,8.310502283105023
1433A,SWY,2018,8760,O3-8h,679,7.751141552511416
1433A,SWY,2018,8760,CO,689,7.865296803652969
1433A,SWY,2018,8760,U10,0,0.0
1433A,SWY,2018,8760,V10,0,0.0
1433A,SWY,2018,8760,T2,0,0.0
1433A,SWY,2018,8760,RH2,0,0.0
1433A,SWY,2018,8760,PBLH,0,0.0
1433A,SWY,2019,8760,AQI,670,7.648401826484018
1433A,SWY,2019,8760,PM2.5,667,7.614155251141552
1433A,SWY,2019,8760,PM10,694,7.922374429223744
1433A,SWY,2019,8760,SO2,662,7.557077625570777
1433A,SWY,2019,8760,NO2,733,8.367579908675799
1433A,SWY,2019,8760,O3-8h,654,7.465753424657534
1433A,SWY,2019,8760,CO,697,7.95662100456621
1433A,SWY,2019,8760,U10,0,0.0
1433A,SWY,2019,8760,V10,0,0.0
1433A,SWY,2019,8760,T2,0,0.0
1433A,SWY,2019,8760,RH2,0,0.0
1433A,SWY,2019,8760,PBLH,0,0.0
1433A,SWY,2020,8784,AQI,322,3.6657559198542806
1433A,SWY,2020,8784,PM2.5,317,3.608834244080146
1433A,SWY,2020,8784,PM10,240,2.73224043715847
1433A,SWY,2020,8784,SO2,263,2.99408014571949
1433A,SWY,2020,8784,NO2,235,2.6753187613843354
1433A,SWY,2020,8784,O3-8h,161,1.8328779599271403
1433A,SWY,2020,8784,CO,245,2.7891621129326047
1433A,SWY,2020,8784,U10,0,0.0
1433A,SWY,2020,8784,V10,0,0.0
1433A,SWY,2020,8784,T2,0,0.0
1433A,SWY,2020,8784,RH2,0,0.0
1433A,SWY,2020,8784,PBLH,0,0.0
1433A,SWY,2021,8049,AQI,274,3.4041495837992297
1433A,SWY,2021,8049,PM2.5,149,1.8511616349857123
1433A,SWY,2021,8049,PM10,136,1.6896508883091066
1433A,SWY,2021,8049,SO2,164,2.0375201888433345
1433A,SWY,2021,8049,NO2,150,1.8635855385762206
1433A,SWY,2021,8049,O3-8h,166,2.062367996024351
1433A,SWY,2021,8049,CO,179,2.2238787427009568
1433A,SWY,2021,8049,U10,1,0.012423903590508137
1433A,SWY,2021,8049,V10,1,0.012423903590508137
1433A,SWY,2021,8049,T2,1,0.012423903590508137
1433A,SWY,2021,8049,RH2,0,0.0
1433A,SWY,2021,8049,PBLH,1,0.012423903590508137
1434A,SHP,2015,8760,AQI,580,6.621004566210045
1434A,SHP,2015,8760,PM2.5,580,6.621004566210045
1434A,SHP,2015,8760,PM10,595,6.792237442922374
1434A,SHP,2015,8760,SO2,594,6.780821917808219
1434A,SHP,2015,8760,NO2,620,7.077625570776255
1434A,SHP,2015,8760,O3-8h,580,6.621004566210045
1434A,SHP,2015,8760,CO,580,6.621004566210045
1434A,SHP,2015,8760,U10,7,0.07990867579908677
1434A,SHP,2015,8760,V10,7,0.07990867579908677
1434A,SHP,2015,8760,T2,7,0.07990867579908677
1434A,SHP,2015,8760,RH2,7,0.07990867579908677
1434A,SHP,2015,8760,PBLH,7,0.07990867579908677
1434A,SHP,2016,8784,AQI,240,2.73224043715847
1434A,SHP,2016,8784,PM2.5,237,2.698087431693989
1434A,SHP,2016,8784,PM10,254,2.8916211293260474
1434A,SHP,2016,8784,SO2,242,2.755009107468124
1434A,SHP,2016,8784,NO2,237,2.698087431693989
1434A,SHP,2016,8784,O3-8h,239,2.720856102003643
1434A,SHP,2016,8784,CO,237,2.698087431693989
1434A,SHP,2016,8784,U10,0,0.0
1434A,SHP,2016,8784,V10,0,0.0
1434A,SHP,2016,8784,T2,0,0.0
1434A,SHP,2016,8784,RH2,0,0.0
1434A,SHP,2016,8784,PBLH,0,0.0
1434A,SHP,2017,8760,AQI,225,2.5684931506849313
1434A,SHP,2017,8760,PM2.5,229,2.6141552511415527
1434A,SHP,2017,8760,PM10,316,3.6073059360730597
1434A,SHP,2017,8760,SO2,227,2.591324200913242
1434A,SHP,2017,8760,NO2,231,2.636986301369863
1434A,SHP,2017,8760,O3-8h,216,2.4657534246575343
1434A,SHP,2017,8760,CO,259,2.9566210045662102
