station_code,station_name,year,horizon,horizon_hours,total_rows,usable_samples,unusable_samples,usable_pct
1437A,JPJ,2015,30d,720,8760,7704,1056,87.94520547945206
1437A,JPJ,2016,30d,720,8784,8317,467,94.68351548269581
1437A,JPJ,2017,30d,720,8760,8262,498,94.31506849315069
1437A,JPJ,2018,30d,720,8760,7609,1151,86.8607305936073
1437A,JPJ,2019,30d,720,8760,7841,919,89.50913242009132
1437A,JPJ,2020,30d,720,8784,8324,460,94.76320582877959
1437A,JPJ,2021,30d,720,8049,7017,1032,87.1785314945956
1438A,LYS,2015,48h,48,8760,7500,1260,85.61643835616438
1438A,LYS,2016,48h,48,8784,7541,1243,85.84927140255009
1438A,LYS,2017,48h,48,8760,7930,830,90.52511415525115
1438A,LYS,2018,48h,48,8760,6883,1877,78.5730593607306
1438A,LYS,2019,48h,48,8760,7122,1638,81.30136986301369
1438A,LYS,2020,48h,48,8784,7550,1234,85.95173041894353
1438A,LYS,2021,48h,48,8049,6908,1141,85.82432600323021
1438A,LYS,2015,72h,72,8760,7505,1255,85.67351598173516
1438A,LYS,2016,72h,72,8784,7471,1313,85.0523679417122
1438A,LYS,2017,72h,72,8760,7902,858,90.20547945205479
1438A,LYS,2018,72h,72,8760,6772,1988,77.30593607305936
1438A,LYS,2019,72h,72,8760,7087,1673,80.90182648401827
1438A,LYS,2020,72h,72,8784,7519,1265,85.5988160291439
1438A,LYS,2021,72h,72,8049,6855,1194,85.16585911293329
1438A,LYS,2015,7d,168,8760,7542,1218,86.0958904109589
1438A,LYS,2016,7d,168,8784,7342,1442,83.58378870673953
1438A,LYS,2017,7d,168,8760,7936,824,90.59360730593608
1438A,LYS,2018,7d,168,8760,6615,2145,75.51369863013699
1438A,LYS,2019,7d,168,8760,7076,1684,80.77625570776256
1438A,LYS,2020,7d,168,8784,7413,1371,84.39207650273224
1438A,LYS,2021,7d,168,8049,6754,1295,83.91104485029196
1438A,LYS,2015,14d,336,8760,7527,1233,85.92465753424658
1438A,LYS,2016,14d,336,8784,7266,1518,82.71857923497268
1438A,LYS,2017,14d,336,8760,7935,825,90.58219178082192
1438A,LYS,2018,14d,336,8760,6508,2252,74.29223744292237
1438A,LYS,2019,14d,336,8760,7130,1630,81.39269406392694
1438A,LYS,2020,14d,336,8784,7447,1337,84.77914389799636
1438A,LYS,2021,14d,336,8049,6626,1423,82.32078519070693
1438A,LYS,2015,30d,720,8760,7560,1200,86.3013698630137
1438A,LYS,2016,30d,720,8784,7257,1527,82.61612021857924
1438A,LYS,2017,30d,720,8760,7942,818,90.662100456621
1438A,LYS,2018,30d,720,8760,6499,2261,74.18949771689498
1438A,LYS,2019,30d,720,8760,7125,1635,81.33561643835617
1438A,LYS,2020,30d,720,8784,7448,1336,84.79052823315118
1438A,LYS,2021,30d,720,8049,6293,1756,78.18362529506771
2880A,DSXL,2015,48h,48,8760,7480,1280,85.38812785388129
2880A,DSXL,2016,48h,48,8784,8054,730,91.68943533697632
2880A,DSXL,2017,48h,48,8760,8266,494,94.3607305936073
2880A,DSXL,2018,48h,48,8760,7940,820,90.6392694063927
2880A,DSXL,2019,48h,48,8760,8013,747,91.47260273972603
2880A,DSXL,2020,48h,48,8784,8364,420,95.21857923497268
2880A,DSXL,2021,48h,48,8049,7380,669,91.68840849795006
2880A,DSXL,2015,72h,72,8760,7487,1273,85.46803652968038
2880A,DSXL,2016,72h,72,8784,8033,751,91.45036429872495
2880A,DSXL,2017,72h,72,8760,8252,508,94.20091324200914
2880A,DSXL,2018,72h,72,8760,7843,917,89.53196347031962
2880A,DSXL,2019,72h,72,8760,7981,779,91.10730593607306
2880A,DSXL,2020,72h,72,8784,8369,415,95.27550091074681
2880A,DSXL,2021,72h,72,8049,7349,700,91.3032674866443
2880A,DSXL,2015,7d,168,8760,7498,1262,85.59360730593608
2880A,DSXL,2016,7d,168,8784,8039,745,91.51867030965391
2880A,DSXL,2017,7d,168,8760,8256,504,94.24657534246576
2880A,DSXL,2018,7d,168,8760,7755,1005,88.52739726027397
2880A,DSXL,2019,7d,168,8760,8003,757,91.35844748858447
2880A,DSXL,2020,7d,168,8784,8367,417,95.25273224043715
2880A,DSXL,2021,7d,168,8049,7269,780,90.30935519940365
2880A,DSXL,2015,14d,336,8760,7518,1242,85.82191780821918
2880A,DSXL,2016,14d,336,8784,8033,751,91.45036429872495
2880A,DSXL,2017,14d,336,8760,8238,522,94.04109589041096
2880A,DSXL,2018,14d,336,8760,7735,1025,88.29908675799086
2880A,DSXL,2019,14d,336,8760,7959,801,90.85616438356165
2880A,DSXL,2020,14d,336,8784,8364,420,95.21857923497268
2880A,DSXL,2021,14d,336,8049,7107,942,88.29668281774133
2880A,DSXL,2015,30d,720,8760,7496,1264,85.57077625570776
2880A,DSXL,2016,30d,720,8784,8055,729,91.70081967213115
2880A,DSXL,2017,30d,720,8760,8242,518,94.08675799086758
2880A,DSXL,2018,30d,720,8760,7677,1083,87.63698630136987
2880A,DSXL,2019,30d,720,8760,8011,749,91.44977168949772
2880A,DSXL,2020,30d,720,8784,8352,432,95.08196721311475
2880A,DSXL,2021,30d,720,8049,6802,1247,84.50739222263635
3136A,LQXQ,2015,48h,48,8760,7126,1634,81.34703196347031
3136A,LQXQ,2017,48h,48,8760,7510,1250,85.73059360730593
